2025-08-25 13:42:00 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ weeklyAttendanceRateLabel injected successfully
2025-08-25 13:42:00 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ participationRateLabel injected successfully
2025-08-25 13:42:00 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ lastUpdatedLabel injected successfully
2025-08-25 13:42:00 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ systemStatusLabel injected successfully
2025-08-25 13:42:00 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ School ID found: 9d47203f-4e54-47ac-a560-eeb277794e76
2025-08-25 14:22:10 INFO  [JavaFX Application Thread] com.zaxxer.hikari.HikariDataSource - CMS-Pool - Starting...
2025-08-25 14:22:15 INFO  [JavaFX Application Thread] com.zaxxer.hikari.pool.HikariPool - CMS-Pool - Added connection org.postgresql.jdbc.PgConnection@77bf042e
2025-08-25 14:22:15 INFO  [JavaFX Application Thread] com.zaxxer.hikari.HikariDataSource - CMS-Pool - Start completed.
2025-08-25 14:22:17 INFO  [JavaFX Application Thread] c.c.c.utils.SessionManager - Session created for username=mw1 userId=6748e77d-a21d-4fee-94ad-a0532bd88c68 schoolId=9d47203f-4e54-47ac-a560-eeb277794e76 schoolName=main campus role=coordinator
2025-08-25 14:22:17 INFO  [JavaFX Application Thread] c.c.c.controller.LoginController - User 'mw1' logged in successfully (userId=6748e77d-a21d-4fee-94ad-a0532bd88c68, schoolId=9d47203f-4e54-47ac-a560-eeb277794e76, role=coordinator)
2025-08-25 14:22:17 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - === OVERVIEW CONTROLLER INITIALIZATION ===
2025-08-25 14:22:17 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ totalClubsLabel injected successfully
2025-08-25 14:22:17 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ totalMembersLabel injected successfully
2025-08-25 14:22:17 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ totalTeachersLabel injected successfully
2025-08-25 14:22:17 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ totalLearnersLabel injected successfully
2025-08-25 14:22:17 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ todayAttendanceLabel injected successfully
2025-08-25 14:22:17 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ attendanceThisWeekLabel injected successfully
2025-08-25 14:22:17 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ attendancePercentageLabel injected successfully
2025-08-25 14:22:17 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ weeklyAttendanceRateLabel injected successfully
2025-08-25 14:22:17 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ participationRateLabel injected successfully
2025-08-25 14:22:17 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ lastUpdatedLabel injected successfully
2025-08-25 14:22:17 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ systemStatusLabel injected successfully
2025-08-25 14:22:17 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ School ID found: 9d47203f-4e54-47ac-a560-eeb277794e76
2025-08-25 14:24:05 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - === OVERVIEW CONTROLLER INITIALIZATION ===
2025-08-25 14:24:05 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ totalClubsLabel injected successfully
2025-08-25 14:24:05 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ totalMembersLabel injected successfully
2025-08-25 14:24:05 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ totalTeachersLabel injected successfully
2025-08-25 14:24:05 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ totalLearnersLabel injected successfully
2025-08-25 14:24:05 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ todayAttendanceLabel injected successfully
2025-08-25 14:24:05 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ attendanceThisWeekLabel injected successfully
2025-08-25 14:24:05 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ attendancePercentageLabel injected successfully
2025-08-25 14:24:05 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ weeklyAttendanceRateLabel injected successfully
2025-08-25 14:24:05 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ participationRateLabel injected successfully
2025-08-25 14:24:05 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ lastUpdatedLabel injected successfully
2025-08-25 14:24:05 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ systemStatusLabel injected successfully
2025-08-25 14:24:05 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ School ID found: 9d47203f-4e54-47ac-a560-eeb277794e76
2025-08-25 14:32:31 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - === OVERVIEW CONTROLLER INITIALIZATION ===
2025-08-25 14:32:31 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ totalClubsLabel injected successfully
2025-08-25 14:32:31 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ totalMembersLabel injected successfully
2025-08-25 14:32:31 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ totalTeachersLabel injected successfully
2025-08-25 14:32:31 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ totalLearnersLabel injected successfully
2025-08-25 14:32:31 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ todayAttendanceLabel injected successfully
2025-08-25 14:32:31 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ attendanceThisWeekLabel injected successfully
2025-08-25 14:32:31 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ attendancePercentageLabel injected successfully
2025-08-25 14:32:31 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ weeklyAttendanceRateLabel injected successfully
2025-08-25 14:32:31 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ participationRateLabel injected successfully
2025-08-25 14:32:31 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ lastUpdatedLabel injected successfully
2025-08-25 14:32:31 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ systemStatusLabel injected successfully
2025-08-25 14:32:31 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ School ID found: 9d47203f-4e54-47ac-a560-eeb277794e76
2025-08-25 15:06:46 INFO  [JavaFX Application Thread] c.c.c.c.EnrollmentController - Loaded 9 clubs from database
2025-08-25 15:06:47 INFO  [JavaFX Application Thread] c.c.c.c.EnrollmentController - Loaded 0 learners from database
2025-08-25 16:23:57 INFO  [JavaFX Application Thread] com.zaxxer.hikari.HikariDataSource - CMS-Pool - Starting...
2025-08-25 16:24:03 INFO  [JavaFX Application Thread] com.zaxxer.hikari.pool.HikariPool - CMS-Pool - Added connection org.postgresql.jdbc.PgConnection@50eae5f0
2025-08-25 16:24:03 INFO  [JavaFX Application Thread] com.zaxxer.hikari.HikariDataSource - CMS-Pool - Start completed.
2025-08-25 16:24:05 INFO  [JavaFX Application Thread] c.c.c.utils.SessionManager - Session created for username=mw1 userId=6748e77d-a21d-4fee-94ad-a0532bd88c68 schoolId=9d47203f-4e54-47ac-a560-eeb277794e76 schoolName=main campus role=coordinator
2025-08-25 16:24:05 INFO  [JavaFX Application Thread] c.c.c.controller.LoginController - User 'mw1' logged in successfully (userId=6748e77d-a21d-4fee-94ad-a0532bd88c68, schoolId=9d47203f-4e54-47ac-a560-eeb277794e76, role=coordinator)
2025-08-25 16:24:05 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - === OVERVIEW CONTROLLER INITIALIZATION ===
2025-08-25 16:24:05 INFO  [JavaFX Application Thread] c.c.c.controller.OverviewController - ✅ totalClubsLabel injected successfully
